	s1	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s2	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s3	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s4	s40	s41	s42	s43	s44	s45	s46	s47	s48	s5	s6	s7	s8	s9	A	B	C	EC	Pathway_Module
K00075	0.19	0.13228070175438597	0.29	0.0	0.0	0.15	0.27	0.15	0.17105216622458003	0.17105216622458003	0.09	0.17296587926509188	0.2705882352941177	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17105216622458003	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18028571428571427	0.16	0.1306701030927835	0.18028571428571427	0.5319540229885058	0.25	0.29	0.13228070175438597	0.2	0.18028571428571427	0.11555555555555555	0.25	0.13228070175438597	0.18028571428571427	0.14	0.29	0.15	A09100 Metabolism 	B 09107 Glycan biosynthesis and metabolism 	C 00550 Peptidoglycan biosynthesis [PATH:ko00550] 	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	
K00075	0.19	0.13228070175438597	0.29	0.0	0.0	0.15	0.27	0.15	0.17105216622458003	0.17105216622458003	0.09	0.17296587926509188	0.2705882352941177	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.17105216622458003	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18028571428571427	0.16	0.1306701030927835	0.18028571428571427	0.5319540229885058	0.25	0.29	0.13228070175438597	0.2	0.18028571428571427	0.11555555555555555	0.25	0.13228070175438597	0.18028571428571427	0.14	0.29	0.15	A09180 Brite Hierarchies 	B 09181 Protein families: metabolism 	C 01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011] 	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	
K00077	0.0	0.13	0.29	0.0	0.0	0.19256756756756757	0.45000000000000007	0.39	0.34721485411140585	0.34721485411140585	0.1	0.20144356955380577	0.0	0.0	0.33928571428571425	0.0	0.6666666666666667	0.32222222222222224	0.0	0.5394	0.0	0.33928571428571425	0.66	0.34721485411140585	0.0	0.33928571428571425	0.2	0.0	0.0	0.15	0.27881355932203394	0.37885714285714284	0.2773333333333334	0.26603092783505156	0.37885714285714284	0.0	0.5	0.29	0.13	0.2	0.37885714285714284	0.1688888888888889	0.5	0.13	0.37885714285714284	0.36400000000000005	0.29	0.19256756756756757	A09100 Metabolism 	B 09108 Metabolism of cofactors and vitamins 	C 00770 Pantothenate and CoA biosynthesis [PATH:ko00770] 	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]	M00119 Pantothenate biosynthesis, valine/L-aspartate => pantothenate [PATH:map00770 map01100 map01110]
K00086	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00640 Propanoate metabolism [PATH:ko00640] 	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]	
K00086	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09103 Lipid metabolism 	C 00561 Glycerolipid metabolism [PATH:ko00561] 	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]	
K00088	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.1701503094606543	0.1701503094606543	0.09	0.10288713910761156	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.1701503094606543	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	1.5002298850574713	0.25	0.29	0.13	0.2	0.18	0.14222222222222222	0.25	0.13	0.18	0.14	0.29	0.15	A09100 Metabolism 	B 09104 Nucleotide metabolism 	C 00230 Purine metabolism [PATH:ko00230] 	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	M00050 Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230 map01100]
K00088	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.1701503094606543	0.1701503094606543	0.09	0.10288713910761156	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.1701503094606543	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	1.5002298850574713	0.25	0.29	0.13	0.2	0.18	0.14222222222222222	0.25	0.13	0.18	0.14	0.29	0.15	A09100 Metabolism 	B 09111 Xenobiotics biodegradation and metabolism 	C 00983 Drug metabolism - other enzymes [PATH:ko00983] 	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	M00050 Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230 map01100]
K00088	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.1701503094606543	0.1701503094606543	0.09	0.10288713910761156	0.23	0.0	0.15	0.5	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.1701503094606543	0.15	0.15	0.2	0.45	0.4	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	1.5002298850574713	0.25	0.29	0.13	0.2	0.18	0.14222222222222222	0.25	0.13	0.18	0.14	0.29	0.15	A09180 Brite Hierarchies 	B 09183 Protein families: signaling and cellular processes 	C 04147 Exosome [BR:ko04147] 	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	M00050 Guanine ribonucleotide biosynthesis IMP => GDP,GTP [PATH:map00230 map01100]
K00090	0.0	0.13	0.2958	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.1	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.33	0.0	0.15	0.15	0.0	0.0	0.0	0.0	0.14	0.18	0.16	0.13	0.18	0.0	0.0	0.2958	0.13	0.0	0.18	0.0	0.0	0.13	0.18	0.14	0.2958	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00030 Pentose phosphate pathway [PATH:ko00030] 	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	
K00090	0.0	0.13	0.2958	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.1	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.33	0.0	0.15	0.15	0.0	0.0	0.0	0.0	0.14	0.18	0.16	0.13	0.18	0.0	0.0	0.2958	0.13	0.0	0.18	0.0	0.0	0.13	0.18	0.14	0.2958	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00620 Pyruvate metabolism [PATH:ko00620] 	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	
K00090	0.0	0.13	0.2958	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.1	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.33	0.0	0.15	0.15	0.0	0.0	0.0	0.0	0.14	0.18	0.16	0.13	0.18	0.0	0.0	0.2958	0.13	0.0	0.18	0.0	0.0	0.13	0.18	0.14	0.2958	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630] 	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	
K00090	0.0	0.13	0.2958	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.1	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.33	0.0	0.15	0.15	0.0	0.0	0.0	0.0	0.14	0.18	0.16	0.13	0.18	0.0	0.0	0.2958	0.13	0.0	0.18	0.0	0.0	0.13	0.18	0.14	0.2958	0.15	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00260 Glycine, serine and threonine metabolism [PATH:ko00260] 	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	
K00094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00052 Galactose metabolism [PATH:ko00052] 	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	
K00097	0.19	0.193859649122807	0.29	0.0	0.0	0.22297297297297294	0.45000000000000007	0.24	0.0	0.0	0.0	0.0	0.3517647058823529	0.0	0.3142857142857143	0.5	0.5333333333333333	0.2	0.0	0.31	0.0	0.3142857142857143	0.3861702127659575	0.0	0.15	0.3142857142857143	0.2	0.45	0.4	0.19999999999999998	0.2794607087827427	0.24757142857142855	0.24533333333333335	0.15881443298969075	0.24757142857142855	0.0	0.0	0.29	0.193859649122807	0.0	0.24757142857142855	0.0	0.0	0.193859649122807	0.24757142857142855	0.168	0.29	0.22297297297297294	A09100 Metabolism 	B 09108 Metabolism of cofactors and vitamins 	C 00750 Vitamin B6 metabolism [PATH:ko00750] 	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	M00124 Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P [PATH:map00750 map01100]
K00099	0.19	0.13	0.29	0.0	0.0	0.15	0.27	0.15	0.0	0.0	0.09	0.16220472440944883	0.0	0.0	0.15	0.0	0.2	0.2	0.0	0.31	0.0	0.15	0.33	0.0	0.15	0.15	0.0	0.0	0.0	0.15	0.14	0.18	0.16	0.1306701030927835	0.18	0.52	0.0	0.29	0.13	0.0	0.18	0.08	0.0	0.13	0.18	0.14	0.29	0.15	A09100 Metabolism 	B 09109 Metabolism of terpenoids and polyketides 	C 00900 Terpenoid backbone biosynthesis [PATH:ko00900] 	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	M00096 C5 isoprenoid biosynthesis, non-mevalonate pathway [PATH:map00900 map01100 map01110]
K00100	0.19	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.09	0.1479002624671916	0.23	0.0	0.0	0.0	0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.31623376623376626	0.0	0.30000000000000004	0.0	0.0	0.0	0.14	0.24357142857142858	0.0	0.0	0.24357142857142858	0.0	0.0	0.0	0.0	0.2	0.24357142857142858	0.09777777777777778	0.0	0.0	0.24357142857142858	0.0	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00650 Butanoate metabolism [PATH:ko00650] 	bdhAB; butanol dehydrogenase [EC:1.1.1.-]	
K00101	0.20461538461538462	0.13	0.29	0.0	0.0	0.15	0.6300000000000001	0.24	0.0	0.0	0.0	0.0	0.32470588235294123	0.0	0.21785714285714283	0.0	0.22222222222222224	0.2	0.0	0.0	0.0	0.21785714285714283	0.4493617021276596	0.0	0.15	0.21785714285714283	0.2	0.45	0.0	0.15	0.14	0.18	0.0	0.13938144329896907	0.18	0.5977011494252873	0.0	0.29	0.13	0.0	0.18	0.0	0.0	0.13	0.18	0.14	0.29	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00620 Pyruvate metabolism [PATH:ko00620] 	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	
K00102	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	0.09	0.1	0.2570588235294118	0.0	0.0	0.0	0.3111111111111111	0.0	0.0	0.0	0.0	0.0	0.3440425531914894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00620 Pyruvate metabolism [PATH:ko00620] 	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	
K00104	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.10616797900262467	0.23	0.0	0.0	0.0	0.26666666666666666	0.0	0.0	0.31	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.18	0.08	0.0	0.0	0.18	0.0	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00630 Glyoxylate and dicarboxylate metabolism [PATH:ko00630] 	glcD; glycolate oxidase [EC:1.1.3.15]	
K00108	0.0	0.0	0.3654	0.0	0.0	0.30810810810810807	0.45000000000000007	0.0	0.17105216622458003	0.17105216622458003	0.0	0.0	0.4464705882352941	0.0	0.18571428571428572	0.0	0.46666666666666673	0.2	0.0	0.44639999999999996	0.0	0.18571428571428572	0.37914893617021284	0.17105216622458003	0.15844155844155844	0.18571428571428572	0.5	0.0	0.0	0.44999999999999996	0.0	0.4208571428571429	0.16	0.13	0.4208571428571429	0.0	0.0	0.3654	0.0	0.0	0.4208571428571429	0.0	0.0	0.0	0.4208571428571429	0.14	0.3654	0.30810810810810807	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00260 Glycine, serine and threonine metabolism [PATH:ko00260] 	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]	M00555 Betaine biosynthesis, choline => betaine [PATH:map00260 map01100]
K00111	0.19	0.2714035087719298	0.29	0.0	0.0	0.3527027027027027	0.27	0.3	0.17090185676392575	0.17090185676392575	0.13999999999999999	0.10328083989501313	0.8658823529411765	0.0	0.20714285714285713	0.5	0.22222222222222224	0.2	0.0	0.41540000000000005	0.0	0.20714285714285713	0.5757446808510639	0.17090185676392575	0.15	0.20714285714285713	0.2	0.45	0.0	0.15	0.2782742681047766	0.28085714285714286	0.21333333333333332	0.261340206185567	0.28085714285714286	0.8427586206896551	0.0	0.29	0.2714035087719298	0.0	0.28085714285714286	0.11555555555555555	0.0	0.2714035087719298	0.28085714285714286	0.14	0.29	0.3527027027027027	A09100 Metabolism 	B 09103 Lipid metabolism 	C 00564 Glycerophospholipid metabolism [PATH:ko00564] 	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	
K00112	0.0	0.13	0.0	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.15	A09100 Metabolism 	B 09103 Lipid metabolism 	C 00564 Glycerophospholipid metabolism [PATH:ko00564] 	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	
K00113	0.0	0.13	0.0	0.0	0.0	0.15	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.15	A09100 Metabolism 	B 09103 Lipid metabolism 	C 00564 Glycerophospholipid metabolism [PATH:ko00564] 	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	
K00114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21111111111111114	0.0	0.41540000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.18	0.0	0.0	0.0	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00010 Glycolysis / Gluconeogenesis [PATH:ko00010] 	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	
K00114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21111111111111114	0.0	0.41540000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.18	0.0	0.0	0.0	A09100 Metabolism 	B 09111 Xenobiotics biodegradation and metabolism 	C 00625 Chloroalkane and chloroalkene degradation [PATH:ko00625] 	exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]	
K00116	0.19	0.13	0.29	0.0	0.0	0.15	0.0	0.3	0.3638992042440319	0.3638992042440319	0.09	0.1	0.0	0.0	0.2857142857142857	0.5	0.0	0.0	0.0	0.5456	0.0	0.2857142857142857	0.33	0.3638992042440319	0.15	0.2857142857142857	0.2	0.45	0.0	0.15	0.0	0.36328571428571427	0.2986666666666667	0.14340206185567012	0.36328571428571427	0.52	0.0	0.29	0.13	0.0	0.36328571428571427	0.08	0.0	0.13	0.36328571428571427	0.28	0.29	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00020 Citrate cycle (TCA cycle) [PATH:ko00020] 	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]
K00116	0.19	0.13	0.29	0.0	0.0	0.15	0.0	0.3	0.3638992042440319	0.3638992042440319	0.09	0.1	0.0	0.0	0.2857142857142857	0.5	0.0	0.0	0.0	0.5456	0.0	0.2857142857142857	0.33	0.3638992042440319	0.15	0.2857142857142857	0.2	0.45	0.0	0.15	0.0	0.36328571428571427	0.2986666666666667	0.14340206185567012	0.36328571428571427	0.52	0.0	0.29	0.13	0.0	0.36328571428571427	0.08	0.0	0.13	0.36328571428571427	0.28	0.29	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00620 Pyruvate metabolism [PATH:ko00620] 	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	M00009 Citrate cycle (TCA cycle, Krebs cycle) [PATH:map00020 map01200 map01100]
K00117	0.0	0.13	0.40019999999999994	0.0	0.0	0.15	0.45000000000000007	0.15	0.0	0.0	0.0	0.0	0.23	0.0	0.2785714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.2785714285714286	0.0	0.0	0.2675324675324675	0.2785714285714286	0.0	0.45	0.0	0.0	0.14	0.19857142857142857	0.192	0.16283505154639175	0.19857142857142857	0.0	0.0	0.40019999999999994	0.13	0.0	0.19857142857142857	0.0	0.0	0.13	0.19857142857142857	0.168	0.40019999999999994	0.15	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00030 Pentose phosphate pathway [PATH:ko00030] 	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]	
K00121	0.0	0.30561403508771934	0.6496000000000001	0.0	0.0	0.30608108108108106	0.72	0.36	0.0	0.0	0.1	0.13976377952755906	0.48705882352941177	0.0	0.3142857142857143	0.0	0.48888888888888893	0.33333333333333337	0.0	0.961	0.0	0.3142857142857143	0.8004255319148937	0.0	0.3961038961038961	0.3142857142857143	0.4	0.0	0.0	0.3	0.0	0.41942857142857143	0.3413333333333333	0.3658762886597939	0.41942857142857143	0.0	0.0	0.6496000000000001	0.30561403508771934	0.0	0.41942857142857143	0.10666666666666666	0.0	0.30561403508771934	0.41942857142857143	0.28	0.6496000000000001	0.30608108108108106	A09100 Metabolism 	B 09101 Carbohydrate metabolism 	C 00010 Glycolysis / Gluconeogenesis [PATH:ko00010] 	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	
K00121	0.0	0.30561403508771934	0.6496000000000001	0.0	0.0	0.30608108108108106	0.72	0.36	0.0	0.0	0.1	0.13976377952755906	0.48705882352941177	0.0	0.3142857142857143	0.0	0.48888888888888893	0.33333333333333337	0.0	0.961	0.0	0.3142857142857143	0.8004255319148937	0.0	0.3961038961038961	0.3142857142857143	0.4	0.0	0.0	0.3	0.0	0.41942857142857143	0.3413333333333333	0.3658762886597939	0.41942857142857143	0.0	0.0	0.6496000000000001	0.30561403508771934	0.0	0.41942857142857143	0.10666666666666666	0.0	0.30561403508771934	0.41942857142857143	0.28	0.6496000000000001	0.30608108108108106	A09100 Metabolism 	B 09102 Energy metabolism 	C 00680 Methane metabolism [PATH:ko00680] 	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	
K00121	0.0	0.30561403508771934	0.6496000000000001	0.0	0.0	0.30608108108108106	0.72	0.36	0.0	0.0	0.1	0.13976377952755906	0.48705882352941177	0.0	0.3142857142857143	0.0	0.48888888888888893	0.33333333333333337	0.0	0.961	0.0	0.3142857142857143	0.8004255319148937	0.0	0.3961038961038961	0.3142857142857143	0.4	0.0	0.0	0.3	0.0	0.41942857142857143	0.3413333333333333	0.3658762886597939	0.41942857142857143	0.0	0.0	0.6496000000000001	0.30561403508771934	0.0	0.41942857142857143	0.10666666666666666	0.0	0.30561403508771934	0.41942857142857143	0.28	0.6496000000000001	0.30608108108108106	A09100 Metabolism 	B 09103 Lipid metabolism 	C 00071 Fatty acid degradation [PATH:ko00071] 	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	
K00121	0.0	0.30561403508771934	0.6496000000000001	0.0	0.0	0.30608108108108106	0.72	0.36	0.0	0.0	0.1	0.13976377952755906	0.48705882352941177	0.0	0.3142857142857143	0.0	0.48888888888888893	0.33333333333333337	0.0	0.961	0.0	0.3142857142857143	0.8004255319148937	0.0	0.3961038961038961	0.3142857142857143	0.4	0.0	0.0	0.3	0.0	0.41942857142857143	0.3413333333333333	0.3658762886597939	0.41942857142857143	0.0	0.0	0.6496000000000001	0.30561403508771934	0.0	0.41942857142857143	0.10666666666666666	0.0	0.30561403508771934	0.41942857142857143	0.28	0.6496000000000001	0.30608108108108106	A09100 Metabolism 	B 09105 Amino acid metabolism 	C 00350 Tyrosine metabolism [PATH:ko00350] 	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	
K00121	0.0	0.30561403508771934	0.6496000000000001	0.0	0.0	0.30608108108108106	0.72	0.36	0.0	0.0	0.1	0.13976377952755906	0.48705882352941177	0.0	0.3142857142857143	0.0	0.48888888888888893	0.33333333333333337	0.0	0.961	0.0	0.3142857142857143	0.8004255319148937	0.0	0.3961038961038961	0.3142857142857143	0.4	0.0	0.0	0.3	0.0	0.41942857142857143	0.3413333333333333	0.3658762886597939	0.41942857142857143	0.0	0.0	0.6496000000000001	0.30561403508771934	0.0	0.41942857142857143	0.10666666666666666	0.0	0.30561403508771934	0.41942857142857143	0.28	0.6496000000000001	0.30608108108108106	A09100 Metabolism 	B 09108 Metabolism of cofactors and vitamins 	C 00830 Retinol metabolism [PATH:ko00830] 	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	
K00121	0.0	0.30561403508771934	0.6496000000000001	0.0	0.0	0.30608108108108106	0.72	0.36	0.0	0.0	0.1	0.13976377952755906	0.48705882352941177	0.0	0.3142857142857143	0.0	0.48888888888888893	0.33333333333333337	0.0	0.961	0.0	0.3142857142857143	0.8004255319148937	0.0	0.3961038961038961	0.3142857142857143	0.4	0.0	0.0	0.3	0.0	0.41942857142857143	0.3413333333333333	0.3658762886597939	0.41942857142857143	0.0	0.0	0.6496000000000001	0.30561403508771934	0.0	0.41942857142857143	0.10666666666666666	0.0	0.30561403508771934	0.41942857142857143	0.28	0.6496000000000001	0.30608108108108106	A09100 Metabolism 	B 09111 Xenobiotics biodegradation and metabolism 	C 00625 Chloroalkane and chloroalkene degradation [PATH:ko00625] 	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	
K00121	0.0	0.30561403508771934	0.6496000000000001	0.0	0.0	0.30608108108108106	0.72	0.36	0.0	0.0	0.1	0.13976377952755906	0.48705882352941177	0.0	0.3142857142857143	0.0	0.48888888888888893	0.33333333333333337	0.0	0.961	0.0	0.3142857142857143	0.8004255319148937	0.0	0.3961038961038961	0.3142857142857143	0.4	0.0	0.0	0.3	0.0	0.41942857142857143	0.3413333333333333	0.3658762886597939	0.41942857142857143	0.0	0.0	0.6496000000000001	0.30561403508771934	0.0	0.41942857142857143	0.10666666666666666	0.0	0.30561403508771934	0.41942857142857143	0.28	0.6496000000000001	0.30608108108108106	A09100 Metabolism 	B 09111 Xenobiotics biodegradation and metabolism 	C 00626 Naphthalene degradation [PATH:ko00626] 	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	
K00121	0.0	0.30561403508771934	0.6496000000000001	0.0	0.0	0.30608108108108106	0.72	0.36	0.0	0.0	0.1	0.13976377952755906	0.48705882352941177	0.0	0.3142857142857143	0.0	0.48888888888888893	0.33333333333333337	0.0	0.961	0.0	0.3142857142857143	0.8004255319148937	0.0	0.3961038961038961	0.3142857142857143	0.4	0.0	0.0	0.3	0.0	0.41942857142857143	0.3413333333333333	0.3658762886597939	0.41942857142857143	0.0	0.0	0.6496000000000001	0.30561403508771934	0.0	0.41942857142857143	0.10666666666666666	0.0	0.30561403508771934	0.41942857142857143	0.28	0.6496000000000001	0.30608108108108106	A09100 Metabolism 	B 09111 Xenobiotics biodegradation and metabolism 	C 00980 Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980] 	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	
K00121	0.0	0.30561403508771934	0.6496000000000001	0.0	0.0	0.30608108108108106	0.72	0.36	0.0	0.0	0.1	0.13976377952755906	0.48705882352941177	0.0	0.3142857142857143	0.0	0.48888888888888893	0.33333333333333337	0.0	0.961	0.0	0.3142857142857143	0.8004255319148937	0.0	0.3961038961038961	0.3142857142857143	0.4	0.0	0.0	0.3	0.0	0.41942857142857143	0.3413333333333333	0.3658762886597939	0.41942857142857143	0.0	0.0	0.6496000000000001	0.30561403508771934	0.0	0.41942857142857143	0.10666666666666666	0.0	0.30561403508771934	0.41942857142857143	0.28	0.6496000000000001	0.30608108108108106	A09100 Metabolism 	B 09111 Xenobiotics biodegradation and metabolism 	C 00982 Drug metabolism - cytochrome P450 [PATH:ko00982] 	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	
