	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	PFAM_Name	PFAM_desc
pfam00533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	BRCT	BRCA1 C Terminus (BRCT) domain
pfam00534	3.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	0.0	1.0	6.0	1.0	1.0	1.0	0.0	3.0	0.0	1.0	5.0	5.0	2.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0	2.0	5.0	7.0	2.0	1.0	2.0	1.0	2.0	5.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	Glycos_transf_1	Glycosyl transferases group 1
pfam00535	4.0	2.0	3.0	2.0	1.0	2.0	1.0	3.0	2.0	1.0	3.0	0.0	0.0	2.0	5.0	3.0	1.0	1.0	1.0	2.0	0.0	2.0	9.0	3.0	2.0	0.0	2.0	0.0	2.0	1.0	1.0	2.0	1.0	8.0	10.0	2.0	1.0	2.0	2.0	2.0	7.0	2.0	3.0	1.0	2.0	2.0	1.0	2.0	Glycos_transf_2	Glycosyl transferase family 2
pfam00542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ribosomal_L12	Ribosomal protein L7/L12 C-terminal domain
pfam00543	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	P-II	Nitrogen regulatory protein P-II
pfam00549	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Ligase_CoA	CoA-ligase
pfam00550	1.0	2.0	2.0	1.0	1.0	5.0	1.0	1.0	3.0	1.0	1.0	0.0	0.0	3.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	5.0	2.0	5.0	1.0	1.0	1.0	1.0	1.0	5.0	6.0	1.0	PP-binding	Phosphopantetheine attachment site
pfam00551	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	Formyl_trans_N	Formyl transferase
pfam00557	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	3.0	1.0	1.0	1.0	0.0	2.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	Peptidase_M24	Metallopeptidase family M24
pfam00560	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	LRR_1	Leucine Rich Repeat
pfam00561	1.0	2.0	4.0	1.0	1.0	3.0	1.0	4.0	2.0	1.0	4.0	0.0	0.0	2.0	5.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	4.0	3.0	2.0	0.0	3.0	0.0	1.0	1.0	2.0	1.0	2.0	4.0	2.0	1.0	0.0	3.0	1.0	3.0	5.0	1.0	4.0	1.0	0.0	3.0	1.0	1.0	Abhydrolase_1	alpha/beta hydrolase fold
pfam00562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	RNA_pol_Rpb2_6	RNA polymerase Rpb2, domain 6
pfam00563	0.0	1.0	8.0	3.0	3.0	4.0	2.0	4.0	2.0	3.0	4.0	0.0	0.0	2.0	5.0	4.0	0.0	0.0	1.0	2.0	0.0	3.0	0.0	2.0	5.0	0.0	7.0	0.0	3.0	0.0	1.0	3.0	8.0	0.0	0.0	2.0	2.0	4.0	2.0	4.0	0.0	0.0	4.0	3.0	0.0	4.0	1.0	0.0	EAL	EAL domain
pfam00565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	SNase	Staphylococcal nuclease homologue
pfam00570	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	HRDC	HRDC domain
pfam00571	3.0	3.0	6.0	2.0	2.0	4.0	2.0	5.0	3.0	2.0	5.0	0.0	0.0	3.0	6.0	3.0	2.0	2.0	2.0	4.0	0.0	2.0	6.0	4.0	3.0	0.0	7.0	0.0	2.0	2.0	2.0	2.0	6.0	8.0	7.0	3.0	2.0	4.0	2.0	4.0	7.0	2.0	5.0	2.0	2.0	4.0	2.0	2.0	CBS	CBS domain
pfam00572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ribosomal_L13	Ribosomal protein L13
pfam00573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ribosomal_L4	Ribosomal protein L4/L1 family
pfam00574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	CLP_protease	Clp protease
pfam00575	2.0	1.0	4.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	0.0	0.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0	0.0	2.0	4.0	2.0	2.0	0.0	4.0	0.0	2.0	2.0	2.0	2.0	4.0	4.0	3.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	2.0	2.0	2.0	1.0	2.0	S1	S1 RNA binding domain
pfam00576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Transthyretin	HIUase/Transthyretin family
pfam00577	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	Usher	Outer membrane usher protein
pfam00578	6.0	1.0	2.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	4.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	4.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	AhpC-TSA	AhpC/TSA family
pfam00579	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	tRNA-synt_1b	tRNA synthetases class I (W and Y)
pfam00580	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	UvrD-helicase	UvrD/REP helicase N-terminal domain
pfam00581	2.0	1.0	3.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	3.0	1.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	2.0	5.0	4.0	1.0	1.0	2.0	1.0	2.0	4.0	0.0	2.0	1.0	1.0	2.0	1.0	0.0	Rhodanese	Rhodanese-like domain
pfam00582	2.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	1.0	1.0	2.0	9.0	4.0	1.0	1.0	2.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	Usp	Universal stress protein family
pfam00583	2.0	4.0	4.0	2.0	2.0	4.0	3.0	4.0	4.0	2.0	4.0	0.0	0.0	4.0	5.0	3.0	2.0	2.0	3.0	5.0	0.0	3.0	6.0	4.0	2.0	0.0	2.0	0.0	3.0	2.0	1.0	3.0	2.0	6.0	3.0	1.0	2.0	4.0	2.0	4.0	9.0	1.0	4.0	2.0	2.0	4.0	3.0	1.0	Acetyltransf_1	Acetyltransferase (GNAT) family
pfam00584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	SecE	SecE/Sec61-gamma subunits of protein translocation complex
pfam00585	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Thr_dehydrat_C	C-terminal regulatory domain of Threonine dehydratase
pfam00586	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	AIRS	AIR synthase related protein, N-terminal domain
pfam00587	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	tRNA-synt_2b	tRNA synthetase class II core domain (G, H, P, S and T)
pfam00588	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	SpoU_methylase	SpoU rRNA Methylase family
pfam00589	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	2.0	2.0	2.0	1.0	1.0	1.0	2.0	0.0	2.0	2.0	2.0	2.0	0.0	3.0	0.0	2.0	1.0	1.0	2.0	2.0	4.0	3.0	1.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	Phage_integrase	Phage integrase family
pfam00590	1.0	0.0	2.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	TP_methylase	Tetrapyrrole (Corrin/Porphyrin) Methylases
pfam00591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glycos_transf_3	Glycosyl transferase family, a/b domain
pfam00593	9.0	0.0	7.0	1.0	2.0	5.0	1.0	15.0	2.0	2.0	15.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	3.0	0.0	2.0	9.0	1.0	7.0	0.0	2.0	0.0	2.0	0.0	3.0	2.0	2.0	8.0	6.0	1.0	1.0	5.0	1.0	5.0	0.0	0.0	15.0	2.0	0.0	5.0	0.0	0.0	TonB_dep_Rec	TonB dependent receptor
pfam00595	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	PDZ	PDZ domain (Also known as DHR or GLGF)
pfam00595	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	PDZ	PDZ domain
pfam00596	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	Aldolase_II	Class II Aldolase and Adducin N-terminal domain
pfam00623	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	RNA_pol_Rpb1_2	RNA polymerase Rpb1, domain 2
pfam00625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Guanylate_kin	Guanylate kinase
pfam00629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MAM	MAM domain, meprin/A5/mu
pfam00633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	HHH	Helix-hairpin-helix motif
pfam00639	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	Rotamase	PPIC-type PPIASE domain
pfam00654	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Voltage_CLC	Voltage gated chloride channel
pfam00657	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Lipase_GDSL	GDSL-like Lipase/Acylhydrolase
pfam00662	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Proton_antipo_N	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
pfam00664	2.0	1.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	2.0	4.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	4.0	2.0	1.0	0.0	2.0	0.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	2.0	5.0	2.0	2.0	1.0	2.0	2.0	1.0	2.0	ABC_membrane	ABC transporter transmembrane region
pfam00665	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	3.0	rve	Integrase core domain
pfam00667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	FAD_binding_1	FAD binding domain
pfam00668	0.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	4.0	5.0	0.0	Condensation	Condensation domain
pfam00669	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Flagellin_N	Bacterial flagellin N-terminal helical region
pfam00670	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	AdoHcyase_NAD	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
pfam00672	1.0	3.0	18.0	4.0	4.0	9.0	4.0	6.0	3.0	4.0	6.0	0.0	0.0	3.0	10.0	6.0	1.0	1.0	4.0	1.0	0.0	5.0	2.0	3.0	3.0	0.0	7.0	0.0	5.0	1.0	1.0	5.0	7.0	1.0	0.0	2.0	3.0	9.0	4.0	9.0	3.0	0.0	6.0	4.0	0.0	9.0	3.0	0.0	HAMP	HAMP domain
pfam00673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ribosomal_L5_C	ribosomal L5P family C-terminus
pfam00675	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	Peptidase_M16	Insulinase (Peptidase family M16)
pfam00676	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	E1_dh	Dehydrogenase E1 component
pfam00677	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	Lum_binding	Lumazine binding domain
pfam00679	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	EFG_C	Elongation factor G C-terminus
pfam00682	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	HMGL-like	HMGL-like
pfam00684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DnaJ_CXXCXGXG	DnaJ central domain
